item,name,type,category,subcategory,label,countryLabel,subclass_ofLabel,text_distribution,std_text,avg_text,len,entropy_text,gini_text,sum_over_texts,ref_distribution,std_ref,avg_ref,sum_over_ref,entropy_ref,gini_ref,h_adj_descr,h_nat_descr,h_adj_engtext,h_nat_engtext
http://www.wikidata.org/entity/Q15786, 1. FC Nürnberg,entity,sports,sports club,cultural representative,Germany,0,"[2188, 923, 1053, 184, 2795, 3060, 3178, 3002, 808, 1348, 9573, 174, 2264, 185, 750, 17835, 700, 3256, 2996, 2176, 558, 1426, 11790, 367, 2829, 754, 1086, 2587, 962, 827, 16439, 4126, 9777, 450, 1297, 246, 8816, 430, 301, 1649, 30484, 1040, 299, 1828, 9228, 1303, 4604, 209, 3405, 752, 599, 768, 3263, 1217, 1723, 438, 6994, 99, 1365]",5189.438577513423,3301.406779661017,59,-2487920.7169810883,-2231944008,194783,"[3, 2, 4, 3, 3, 3, 1, 1, 17, 3, 19, 4, 1, 1, 1, 1, 1, 1, 4, 1, 9, 5, 4, 1, 2, 1, 2, 1, 9, 1, 1, 2, 2, 3]",4.152895350522036,3.4411764705882355,117,-289.39510657006315,-988,1,0,2,2
http://www.wikidata.org/entity/Q268530,77 Records,entity,music,record label,cultural exclusive,United Kingdom,0,"[1568, 1293, 1769, 689, 548, 659]",478.0215011435736,1087.6666666666667,6,-66747.03722604267,-8469139,6526,"[2, 3, 3, 2]",0.5,2.5,10,-13.509775004326936,-25,0,0,2,0
http://www.wikidata.org/entity/Q216153,A Bug's Life,entity,comics and anime,animated film,cultural representative,0,0,"[4090, 1266, 337, 633, 527, 240, 4790, 545, 2384, 359, 2025, 839, 6396, 7136, 446, 1748, 6389, 32553, 4866, 8931, 2775, 5374, 11722, 1396, 461, 9611, 295, 732, 20729, 18682, 4436, 145, 24563, 14649, 319, 967, 1039, 687, 1454, 1169, 1348, 7068, 618, 2861, 2936, 30721, 240, 1359, 17496, 7749, 827, 1442, 2573, 4990, 2739, 3384, 1524, 167, 10636, 1095, 193, 2677]",7215.555044225905,5037.870967741936,62,-4172791.618452575,-4801551465,312348,"[5, 11, 7, 4, 3, 4, 3, 4, 3, 1, 4, 1, 7, 1, 1, 3, 2, 3, 27, 2, 68, 1, 26, 7, 2, 3, 1, 2, 1, 8, 1, 81, 3, 16, 16, 9, 3, 1, 2, 9, 1, 19, 2]",15.86946481349446,8.790697674418604,378,-1658.4949331101138,-14151,0,0,2,4
http://www.wikidata.org/entity/Q593,A Gang Story,entity,films,film,cultural exclusive,0,0,"[1895, 3163, 665, 432, 4304, 1571, 2582, 736, 1487, 148, 1455, 1722]",1150.068910978816,1680.0,12,-222873.14057013235,-49740701,20160,"[3, 5, 2, 7, 7, 1, 1, 2]",2.345207879911715,3.5,28,-59.667496885406734,-141,0,0,3,0
http://www.wikidata.org/entity/Q192185,Aaron Copland,entity,performing arts,choreographer,cultural representative,0,0,"[2195, 5568, 1061, 1095, 1270, 2148, 919, 8106, 1409, 625, 3561, 10960, 3649, 58181, 741, 6385, 756, 2269, 491, 3126, 12297, 355, 1373, 7831, 1924, 1989, 13924, 772, 1871, 94, 6253, 1960, 1878, 2235, 595, 1684, 13514, 4423, 5164, 372, 3650, 12969, 603, 4556, 1994, 5262, 1093, 4601, 1286, 2117, 1785, 492, 257, 549]",8208.4614923671,4374.759259259259,54,-3127372.6821294087,-4671937366,236237,"[1, 6, 7, 2, 4, 1, 4, 3, 7, 17, 211, 4, 1, 5, 1, 1, 2, 6, 2, 5, 2, 1, 1, 9, 2, 10, 12, 5, 2, 3, 2, 2, 5, 4]",35.11454316758958,10.294117647058824,350,-1977.6778089085146,-45525,1,0,11,5
http://www.wikidata.org/entity/Q265890,Aarwangen Castle,entity,architecture,architectural structure,cultural exclusive,Switzerland,0,"[3792, 332, 351, 187]",1517.736554873737,1165.5,4,-52241.716609355266,-14647657,4662,"[3, 2, 2]",0.4714045207910317,2.3333333333333335,7,-8.754887502163468,-16,0,1,1,1
http://www.wikidata.org/entity/Q305718,abaya,concept,fashion,traditional costume,cultural representative,Iraq,traditional costume,"[1860, 840, 2338, 1872, 1660, 921, 2010, 2809, 8335, 645, 2289, 540, 1542, 1093, 10472, 4820, 1043, 1784, 1238, 9987, 862, 1516, 511, 227, 2806, 3265, 1736, 1218, 1457, 973, 431, 1250, 773, 2122, 2564, 2487, 1477, 454, 213, 429, 1046, 392, 71]",2290.1083406700413,2008.7906976744189,43,-1003317.2923447649,-399032959,86378,"[4, 2, 2, 1, 2, 3, 9, 16, 2, 5, 6, 3, 2, 5, 3, 3, 8, 8, 1, 3, 4, 1, 3, 4, 3, 3, 5, 8, 3, 1, 2]",3.0741783163146996,4.032258064516129,125,-293.66200896008934,-796,0,0,4,2
http://www.wikidata.org/entity/Q337267,Academy of San Carlos,entity,visual arts,art gallery,cultural exclusive,Mexico,0,"[1764, 1742, 10273, 5892, 1190, 3765, 3297, 1489, 644, 1270, 1996, 1846, 1746]",2522.5791019200547,2839.5384615384614,13,-439403.27074973145,-187542991,36914,"[1, 12, 11, 3, 5, 3, 2, 3]",3.905124837953327,5.0,40,-108.94760079459135,-321,0,1,3,3
http://www.wikidata.org/entity/Q15,Africa,entity,geography,geographic location,cultural representative,0,0,"[20, 2690, 106, 17858, 6214, 1648, 1047, 1461, 34679, 13515, 16, 39185, 1946, 58961, 48147, 4002, 185, 1773, 1756, 304, 5567, 31417, 272, 1689, 1266, 4588, 313, 956, 21269, 18294, 1404, 34114, 1062, 214, 1357, 1637, 1036, 8410, 728, 7, 1777, 16686, 319, 865, 32717, 603, 1751, 1530, 11820, 92, 29, 207, 1137, 1242, 236, 648, 48219, 227, 8540, 8073, 999, 30595, 45194, 730, 470, 282, 882, 23, 1189, 33546, 73040, 29506, 52826, 12048, 44103, 16518, 4575, 18817, 264, 232, 16760, 621, 237, 4008, 1016, 355, 190499, 1905, 1706, 243, 207, 813, 2019, 387, 89, 13598, 4352, 33995, 85, 5967, 411, 541, 162, 91, 1259, 1772, 441, 18291, 1564, 34661, 24883, 1438, 7942, 32976, 97567, 3138, 360, 542, 16721, 13129, 2051, 598, 8362, 716, 1800, 9815, 46848, 967, 597, 22341, 127, 10183, 2661, 13349, 45481, 744, 2761, 425, 79, 1000, 136, 10679, 6357, 1404, 46231, 3133, 18030, 14796, 1195, 3281, 18833, 1416, 13148, 12533, 4818, 1542, 7580, 2659, 2033, 203, 705, 1078, 642, 154, 81, 15537, 13673, 566, 8431, 1028, 34449, 19, 359, 1823, 41925, 6270, 647, 1700, 5105, 100, 4137, 7150, 463, 2768, 318, 47641, 663, 365, 2480, 978, 1687, 4062, 12175, 2850, 367, 34782, 2095, 2212, 1462, 1052, 1290, 2089, 38564, 1546, 836, 1153, 956, 1246, 2619, 606, 4131, 4076, 204, 119296, 541, 6310, 54298, 369, 1088, 6204, 212, 325, 27778, 83366, 910, 63211, 6475, 466, 3267, 6860, 226, 2277, 536, 34965, 807, 2020, 5580, 16, 25415, 7815, 776, 1856, 8451, 4928, 183, 299, 7648, 7034, 12386, 468, 15943, 993, 1063, 1188, 3375, 19326, 9027, 391, 1206, 31, 803, 1904, 104, 377, 2553, 12877, 11022, 107, 1539, 2753, 10784, 2311, 93, 411, 33466, 2056, 18920, 53161, 756, 1666, 44, 1309, 1417, 123157, 5294, 24091, 9743, 1977, 24, 31384, 563, 44, 3147, 760, 3310, 328, 7870, 43201, 13966, 6165, 643, 1404, 5986, 217, 1415, 3228, 5855, 611]",20230.1944755586,10021.652597402595,308,-45964710.57693427,-156985841104,3086669,"[2, 3, 1, 34, 7, 83, 7, 168, 178, 12, 2, 12, 1, 1, 11, 1, 2, 2, 14, 1, 2, 10, 15, 1, 18, 8, 18, 1, 7, 55, 2, 1, 81, 10, 4, 21, 48, 5, 9, 12, 42, 101, 5, 1, 39, 25, 1, 39, 6, 11, 38, 10, 17, 56, 1, 8, 57, 34, 7, 1, 3, 8, 6, 42, 4, 34, 3, 2, 31, 37, 2, 35, 1, 3, 12, 1, 4, 31, 1, 9, 56, 13, 7, 6, 14, 2, 8, 10, 3, 5, 1, 5, 11, 14, 13, 1, 10, 22, 11, 9, 8, 1, 88, 3, 13, 6, 5, 25, 1, 3, 10, 2, 1, 7, 8, 6, 1, 1, 2, 1, 28, 66, 9, 2, 192, 45, 4, 3, 9, 1, 34, 20, 2, 1, 22, 3, 19, 2, 19, 12, 1, 18, 2, 11, 9, 20, 15, 1, 16, 1, 25, 1, 11, 5, 9, 97, 8, 10, 9, 1, 2, 17, 2, 1, 3, 5, 9, 9, 24, 1, 1, 20, 6, 1, 9, 13]",28.3506666287665,16.6875,2937,-15367.016346984872,-190472,0,0,21,24
http://www.wikidata.org/entity/Q388170,African American literature,entity,literature,literary genre,cultural representative,0,American literature,"[5914, 25911, 20297, 65022, 4449, 1858, 14818, 8005, 546, 5489, 42334, 34906, 44360, 4425, 726, 14607, 14794, 2215, 1111]",17776.412290516826,16409.842105263157,19,-4605957.856860257,-11120391284,311787,"[4, 16, 5, 88, 17, 6, 24, 37, 42, 1, 1, 8]",24.107830678018296,20.75,249,-1290.3024725223886,-12140,0,0,5,4
