,subclass_ofLabel
0,None
1,None
2,None
3,None
4,None
5,city
6,None
7,None
8,None
9,None
10,None
11,None
12,None
13,None
14,None
15,None
16,computer animation
17,film
18,None
19,film
20,drink
21,None
22,music festival
23,None
24,None
25,None
26,None
27,None
28,None
29,None
30,None
31,None
32,None
33,None
34,None
35,None
36,None
37,None
38,None
39,tree
40,None
41,None
42,None
43,None
44,None
45,animated film
46,Formula One Grand Prix
47,None
48,None
49,None
50,snooker tournament
51,drink
52,technological utopianism
53,policy
54,greeting
55,greeting
56,delinquent
57,keyboardist
58,tree
59,Animalia
60,psychedelic rock
61,organism
62,electroacoustic music
63,None
64,film
65,mode of transport
66,book
67,None
68,actor
69,actor
70,None
71,None
72,None
73,None
74,None
75,None
76,geographic location
77,city
78,policy
79,religious leader
80,None
81,None
82,None
83,building material
84,None
85,None
86,None
87,law
88,None
89,None
90,None
91,organism
92,animated film
93,None
94,None
95,film
96,musician
97,None
98,organism
99,None
100,architectural structure
101,geographic location
102,None
103,None
104,philosophy
105,None
106,None
107,drink
108,traditional costume
109,dance
110,None
111,textile
112,neighborhood
113,None
114,philosophy
115,None
116,religion
117,None
118,religion
119,government agency
120,bonfire
121,building material
122,None
123,None
124,None
125,museum
126,philosophy
127,None
128,drink
129,folk dance
130,Sunni Islam
131,None
132,None
133,None
134,None
135,composed musical work
136,clothing
137,Elizabethan song
138,sports equipment
139,kiss
140,None
141,sport
142,organization
143,bullet
144,None
145,church building
146,None
147,dish
148,None
149,None
150,None
151,None
152,None
153,None
154,textile
155,None
156,None
157,None
158,trans man
159,None
160,None
161,None
162,None
163,None
164,None
165,None
166,rock music
167,None
168,law
169,None
170,None
171,drink
172,drink
173,None
174,None
175,None
176,None
177,None
178,None
179,None
180,None
181,None
182,None
183,None
184,None
185,modern paganism
186,None
187,None
188,None
189,None
190,None
191,None
192,None
193,dish
194,None
195,None
196,None
197,drink
198,comics
199,None
200,None
201,None
202,None
203,None
204,river
205,None
206,None
207,woman
208,plant milk
209,None
210,None
211,sports club
212,European folk music
213,Olympic sports discipline event
214,None
215,None
216,musician
217,city
218,model
219,medication
220,magazine
221,None
222,None
223,None
224,Plantae
225,film
226,television
227,Berber
228,None
229,None
230,None
231,None
232,None
233,None
234,None
235,None
236,None
237,None
238,None
239,warehouse
240,None
241,Q3153869
242,None
243,None
244,None
245,None
246,None
247,None
248,None
249,None
250,None
251,organism
252,television
253,None
254,None
255,Animalia
256,None
257,None
258,religion
259,religion
260,archaeological site
261,philosophy
262,religion
263,poetry
264,None
265,None
266,None
267,None
268,None
269,None
270,None
271,None
272,None
273,None
274,None
275,None
276,None
277,None
278,None
279,None
280,None
281,None
282,artist
283,Animalia
284,documentary film
285,film
286,musical profession
287,film director
288,None
289,film studio
290,None
291,traditional religion
292,Flash animation
293,None
294,None
295,None
296,None
297,None
298,None
299,None
300,None
301,None
302,None
303,None
304,None
305,None
306,film festival
307,None
308,None
309,None
310,None
311,music festival
312,None
313,None
314,city
315,film
316,None
317,esotericism
318,law
319,political party
320,contemporary folk music
321,monument
322,clothing
323,None
324,antipodal point
325,None
326,poetry
327,None
328,None
329,None
330,None
331,recurring sporting event
332,clothing
333,poet
334,dance
335,racial segregation
336,social movement
337,religious leader
338,female headgear
339,None
340,gesture
341,None
342,None
343,None
344,None
345,egg analogue
346,bottled water
347,fish
348,Animalia
349,organism
350,fish
351,None
352,None
353,poetry
354,None
355,None
356,None
357,location of discovery
358,None
359,None
360,sport
361,designer
362,glass
363,architectural style
364,restoration
365,None
366,None
367,Formula One Grand Prix
368,None
369,None
370,philosophy
371,None
372,None
373,None
374,None
375,None
376,None
377,athlete
378,silk product
379,sports club
380,None
381,None
382,None
383,None
384,None
385,neighborhood
386,None
387,Olympic sports discipline event
388,film
389,model
390,decorative art
391,music festival
392,None
393,None
394,None
395,None
396,None
397,None
398,None
399,animated film
400,None
401,None
402,None
403,None
404,None
405,None
406,None
407,composite material
408,artist
409,art gallery
410,artist
411,artist
412,None
413,None
414,None
415,drink
416,None
417,None
418,None
419,None
420,visual arts
421,None
422,poet
423,None
424,None
425,None
426,recurring sporting event
427,badminton tournament
428,law
429,None
430,fez
431,None
432,None
433,food
434,None
435,folk dance
436,None
437,None
438,sports club
439,None
440,None
441,astronomer
442,None
443,astronomer
444,None
445,None
446,theatre of ancient Rome
447,None
448,None
449,None
450,sports club
451,sport
452,athlete
453,None
454,None
455,book
456,None
457,international crime
458,historian
459,None
460,None
461,None
462,None
463,book
464,None
465,None
466,None
467,None
468,None
469,None
470,None
471,None
472,athlete
473,architectural structure
474,None
475,tradition
476,None
477,Formula One Grand Prix
478,None
479,None
480,government
481,Formula One Grand Prix
482,motorcycle race
483,None
484,None
485,None
486,biography
487,composite material
488,construction (economic activity)
489,magazine
490,None
491,city
492,rite
493,NASCAR Cup race
494,organism
495,None
496,Japanese idol
497,None
498,None
499,Calcifuge
500,mechanism of action
501,None
502,philosophical movement
503,None
504,None
505,folk dance
506,sport
507,None
508,None
509,religious leader
510,law
511,food
512,None
513,folk dance
514,None
515,None
516,sports equipment
517,artist
518,vocalist
519,drink
520,None
