item,name,type,category,subcategory,label,countryLabel,subclass_ofLabel,text_distribution,std_text,avg_text,len,entropy_text,gini_text,sum_over_texts,ref_distribution,std_ref,avg_ref,sum_over_ref,entropy_ref,gini_ref,h_adj_descr,h_nat_descr,h_adj_engtext,h_nat_engtext
http://www.wikidata.org/entity/Q32786,916,entity,films,film,cultural exclusive,0,0,"[536, 387, 724, 1291, 215, 640]",338.1170490952636,632.1666666666666,6,-36037.47991868272,-3083746,3793,"[3, 4]",0.5,3.5,7,-12.754887502163468,-24,0,0,1.0,0.0
http://www.wikidata.org/entity/Q371,!!!,entity,music,musical group,cultural representative,0,0,"[94, 729, 223, 2606, 4827, 873, 4718, 757, 887, 1834, 1725, 2883, 2255, 1263, 2378, 3677, 2388, 2703, 3425, 1159, 2203, 2410, 2586, 455, 1988, 2033, 283, 726, 1394]",1227.5053218218934,1913.1724137931035,29,-622268.2516638173,-149842941,55482,"[1, 2, 8, 8, 19, 4, 1, 4, 4, 5, 1, 2, 8, 5, 9, 2, 1, 2, 2, 2, 1, 1, 1]",4.101730926981132,4.043478260869565,93,-240.45922871728257,-762,1,0,2.0,1.0
http://www.wikidata.org/entity/Q3729947,¡Soborno!,entity,comics and anime,comics,cultural representative,0,0,"[3070, 1354, 869, 1629]",819.8318425140609,1730.5,4,-75513.91703068098,-14667017,6922,"[3, 3, 2]",0.4714045207910317,2.6666666666666665,8,-11.509775004326936,-21,0,0,0.0,0.0
http://www.wikidata.org/entity/Q158611,+44,entity,music,musical group,cultural representative,0,0,"[597, 7570, 808, 2967, 1204, 289, 600, 2409, 12938, 7793, 507, 276, 1428, 8672, 5471, 2177, 3130, 2737, 4764, 4383, 691, 565, 571, 448, 962, 6056, 3630, 772, 6763, 5566, 703, 1099, 932, 2528, 3323, 2899, 2719]",2880.091323069185,2998.5675675675675,37,-1346819.6705353588,-639594338,110947,"[1, 1, 2, 4, 46, 1, 11, 1, 16, 12, 10, 3, 1, 16]",11.683103096317504,8.928571428571429,125,-511.13131624332385,-3026,1,0,2.0,3.0
http://www.wikidata.org/entity/Q280375,1 Monk Street,entity,architecture,building,cultural exclusive,United Kingdom,0,"[2618, 2132]",243.0,2375.0,2,-53301.0632348552,-11399347,4750,"[7, 8]",0.5,7.5,15,-43.65148445440323,-112,0,1,1.0,2.0
http://www.wikidata.org/entity/Q104414508,100 percent corner,concept,geography,city,cultural agnostic,0,city,"[891]",0.0,891.0,1,-8731.159924776033,-793880,891,"[11]",0.0,11.0,11,-38.05374780501027,-120,0,0,0.0,0.0
http://www.wikidata.org/entity/Q3008535,1889 Apia cyclone,entity,history,historical event,cultural agnostic,German Samoa,0,"[878, 5845, 4558, 8413, 7918, 1619, 93]",3138.947750376205,4189.142857142857,7,-367227.9424778328,-191813375,29324,"[5, 8, 4, 1]",2.5,4.5,18,-43.60964047443681,-105,0,0,3.0,2.0
http://www.wikidata.org/entity/Q85720601,18th Abduction,entity,books,book,cultural agnostic,0,0,"[1340]",0.0,1340.0,1,-13919.943162362482,-1795599,1340,"[3]",0.0,3.0,3,-4.754887502163468,-8,0,0,0.0,0.0
http://www.wikidata.org/entity/Q105570,20 July plot,entity,history,historical event,cultural exclusive,Poland,0,"[6668, 31336, 5106, 800, 14738, 10346, 9447, 37826, 7071, 1830, 4849, 78750, 4633, 49226, 4058, 93337, 1628, 1593, 3927, 9042, 91209, 16836, 453, 5338, 43258, 12700, 1886, 14996, 1164, 3519, 1171, 5869, 1528, 1222, 39184, 17419, 1606, 42509, 37284, 22557, 33202, 1062, 1074, 13662, 1333, 3097, 5059, 15523, 31929, 35943, 30003, 8726, 9526, 28595]",21841.818078562585,17715.796296296296,54,-14347554.666538067,-42709380590,956653,"[26, 4, 15, 19, 2, 36, 3, 3, 5, 110, 20, 3, 7, 4, 11, 24, 2, 65, 71, 15, 1, 2, 3, 21, 2, 104, 66, 7, 69, 1, 10, 9, 15, 16, 68, 46, 73, 4, 6, 105]",31.95847892187611,26.825,1073,-6050.99379547615,-69636,0,0,4.0,4.0
http://www.wikidata.org/entity/Q434841,20th Century Studios,entity,media,film studio,cultural representative,United States,0,"[3541, 1363, 531, 4474, 2970, 1401, 667, 1615, 2000, 641, 434, 12735, 469, 377, 2636, 879, 544, 23415, 3477, 52557, 569, 9674, 1827, 1334, 8815, 3649, 28648, 144, 1335, 1409, 714, 3995, 1470, 13991, 5325, 11544, 1000, 29996, 21929, 44179, 52882, 905, 1499, 6652, 390, 568, 1036, 493, 448, 1952, 327, 628, 5252, 636, 1727, 17451, 3577, 12052, 237, 226, 3534, 671, 1459, 1363, 629, 490, 1874, 741, 1013, 616, 1080, 2537, 434, 473, 1840, 570, 1632, 4613, 157, 115, 557, 191, 2134]",10574.918353650966,5372.698795180723,83,-6216509.427699167,-11677667613,445934,"[8, 1, 4, 2, 1, 5, 2, 6, 9, 21, 7, 2, 10, 8, 35, 9, 47, 1, 6, 1, 1, 5, 2, 10, 30, 28, 9, 112, 3, 5, 12, 1, 2, 4, 8, 85, 2, 3, 9, 14, 2, 15, 1, 1, 6, 8, 8, 4, 1, 2, 2, 3, 6, 1, 1, 1]",19.304752507808928,10.571428571428571,592,-2750.129792231072,-27127,1,0,6.0,5.0
