keyword,country,interest
A Bug's Life,Puerto Rico,100
A Bug's Life,United States,94
A Bug's Life,Australia,64
A Bug's Life,Canada,58
A Bug's Life,Ireland,55
A Bug's Life,United Kingdom,55
A Bug's Life,New Zealand,47
A Bug's Life,Philippines,32
A Bug's Life,Singapore,23
A Bug's Life,Italy,17
abaya,Maldives,100
abaya,Sri Lanka,66
abaya,United Arab Emirates,58
abaya,Pakistan,44
abaya,Qatar,42
abaya,Bahrain,29
abaya,Oman,23
abaya,Nigeria,22
abaya,Mauritius,20
abaya,Tanzania,19
Africa,South Africa,100
Africa,Eswatini,67
Africa,Lesotho,62
Africa,Zimbabwe,55
Africa,Botswana,43
Africa,Namibia,35
Africa,Malawi,27
Africa,Zambia,21
Africa,Mozambique,17
Africa,Uganda,16
African American literature,Tanzania,100
African American literature,Nigeria,70
African American literature,Kenya,60
African American literature,Côte d’Ivoire,50
African American literature,Philippines,50
African American literature,Cameroon,40
African American literature,Senegal,40
African American literature,United States,30
African American literature,Ethiopia,30
African American literature,Algeria,10
agricultural irrigation,Sierra Leone,100
agricultural irrigation,Malawi,80
agricultural irrigation,Zimbabwe,78
agricultural irrigation,Ethiopia,68
agricultural irrigation,Rwanda,46
agricultural irrigation,Namibia,44
agricultural irrigation,Somalia,31
agricultural irrigation,Kenya,27
agricultural irrigation,Philippines,23
agricultural irrigation,Tanzania,21
aircraft,Singapore,100
aircraft,Ethiopia,95
aircraft,New Zealand,89
aircraft,Qatar,88
aircraft,United Kingdom,87
aircraft,United Arab Emirates,86
aircraft,Australia,84
aircraft,United States,74
aircraft,Ireland,74
aircraft,Canada,73
Alcantara,Portugal,100
Alcantara,Dominican Republic,95
Alcantara,Spain,88
Alcantara,Brazil,43
Alcantara,Peru,35
Alcantara,Chile,32
Alcantara,Philippines,31
Alcantara,Italy,21
Alcantara,Uganda,19
Alcantara,Ghana,14
Alexandra Stan,Romania,100
Alexandra Stan,Turkmenistan,22
Alexandra Stan,Moldova,18
Alexandra Stan,Uzbekistan,6
Alexandra Stan,Sri Lanka,6
Alexandra Stan,Hungary,5
Alexandra Stan,Kyrgyzstan,5
Alexandra Stan,Azerbaijan,4
Alexandra Stan,Kazakhstan,3
Alexandra Stan,Poland,3
A Gang Story,Antigua & Barbuda,100
A Gang Story,New Zealand,7
A Gang Story,Nigeria,7
A Gang Story,Ghana,4
A Gang Story,Australia,4
A Gang Story,Trinidad & Tobago,4
A Gang Story,Philippines,4
A Gang Story,United States,4
A Gang Story,United Kingdom,2
A Gang Story,Sri Lanka,2
Academy of San Carlos,Jersey,100
Academy of San Carlos,Philippines,5
Academy of San Carlos,Afghanistan,0
Academy of San Carlos,Papua New Guinea,0
Academy of San Carlos,Nigeria,0
Academy of San Carlos,Niue,0
Academy of San Carlos,Norfolk Island,0
Academy of San Carlos,North Korea,0
Academy of San Carlos,North Macedonia,0
Academy of San Carlos,Northern Mariana Islands,0
