entity,language,url
http://www.wikidata.org/entity/Q15786,af,https://af.wikipedia.org/wiki/1._FC_Neurenberg
http://www.wikidata.org/entity/Q15786,an,https://an.wikipedia.org/wiki/1._FC_Nürnberg
http://www.wikidata.org/entity/Q15786,ar,https://ar.wikipedia.org/wiki/نادي_نورنبرغ
http://www.wikidata.org/entity/Q15786,arz,https://arz.wikipedia.org/wiki/نادى_نورنبيرج
http://www.wikidata.org/entity/Q15786,bar,https://bar.wikipedia.org/wiki/Clubb
http://www.wikidata.org/entity/Q15786,be_x_old,https://be_x_old.wikipedia.org/wiki/Нюрнбэрг_(футбольны_клюб)
http://www.wikidata.org/entity/Q15786,be,https://be.wikipedia.org/wiki/ФК_Нюрнберг
http://www.wikidata.org/entity/Q15786,bg,https://bg.wikipedia.org/wiki/1._ФК_Нюрнберг
http://www.wikidata.org/entity/Q15786,bs,https://bs.wikipedia.org/wiki/1._FC_Nürnberg
http://www.wikidata.org/entity/Q15786,ca,https://ca.wikipedia.org/wiki/1._Fußball-Club_Nürnberg_VfL
http://www.wikidata.org/entity/Q15786,cs,https://cs.wikipedia.org/wiki/1._FC_Norimberk
http://www.wikidata.org/entity/Q15786,cy,https://cy.wikipedia.org/wiki/1._FC_Nürnberg
http://www.wikidata.org/entity/Q15786,da,https://da.wikipedia.org/wiki/1._FC_Nürnberg
http://www.wikidata.org/entity/Q15786,de,https://de.wikipedia.org/wiki/1._FC_Nürnberg
http://www.wikidata.org/entity/Q15786,diq,https://diq.wikipedia.org/wiki/1._FC_Nürnberg
http://www.wikidata.org/entity/Q15786,el,https://el.wikipedia.org/wiki/1._ΦΚ_Νυρεμβέργη
http://www.wikidata.org/entity/Q15786,en,https://en.wikipedia.org/wiki/1._FC_Nürnberg
http://www.wikidata.org/entity/Q15786,eo,https://eo.wikipedia.org/wiki/1._FC_Nürnberg
http://www.wikidata.org/entity/Q15786,es,https://es.wikipedia.org/wiki/1._F._C._Núremberg
http://www.wikidata.org/entity/Q15786,et,https://et.wikipedia.org/wiki/1._FC_Nürnberg
http://www.wikidata.org/entity/Q15786,eu,https://eu.wikipedia.org/wiki/1._FC_Nuremberg
http://www.wikidata.org/entity/Q15786,fa,https://fa.wikipedia.org/wiki/باشگاه_فوتبال_نورنبرگ
http://www.wikidata.org/entity/Q15786,fi,https://fi.wikipedia.org/wiki/1._FC_Nürnberg
http://www.wikidata.org/entity/Q15786,fr,https://fr.wikipedia.org/wiki/1._FC_Nuremberg
http://www.wikidata.org/entity/Q15786,gl,https://gl.wikipedia.org/wiki/1._FC_Nürnberg
http://www.wikidata.org/entity/Q15786,he,https://he.wikipedia.org/wiki/נירנברג_(כדורגל)
http://www.wikidata.org/entity/Q15786,hr,https://hr.wikipedia.org/wiki/1._FC_Nürnberg
http://www.wikidata.org/entity/Q15786,hu,https://hu.wikipedia.org/wiki/1._FC_Nürnberg
http://www.wikidata.org/entity/Q15786,hy,https://hy.wikipedia.org/wiki/Նյուրնբերգ_ՖԱ
http://www.wikidata.org/entity/Q15786,id,https://id.wikipedia.org/wiki/1._FC_Nürnberg
http://www.wikidata.org/entity/Q15786,is,https://is.wikipedia.org/wiki/1._FC_Nürnberg
http://www.wikidata.org/entity/Q15786,it,https://it.wikipedia.org/wiki/1._Fußball-Club_Nürnberg_Verein_für_Leibesübungen
http://www.wikidata.org/entity/Q15786,ja,https://ja.wikipedia.org/wiki/1.FCニュルンベルク
http://www.wikidata.org/entity/Q15786,ko,https://ko.wikipedia.org/wiki/1._FC_뉘른베르크
http://www.wikidata.org/entity/Q15786,lt,https://lt.wikipedia.org/wiki/1._FC_Nürnberg
http://www.wikidata.org/entity/Q15786,lv,https://lv.wikipedia.org/wiki/1._FC_Nürnberg
http://www.wikidata.org/entity/Q15786,mg,https://mg.wikipedia.org/wiki/1.FC_Nürnberg
http://www.wikidata.org/entity/Q15786,mk,https://mk.wikipedia.org/wiki/1._ФК_Нирнберг
http://www.wikidata.org/entity/Q15786,mr,https://mr.wikipedia.org/wiki/१._एफ.सी._न्युर्नबर्ग
http://www.wikidata.org/entity/Q15786,mzn,https://mzn.wikipedia.org/wiki/اف‌سی_نورنبرگ
http://www.wikidata.org/entity/Q15786,nds,https://nds.wikipedia.org/wiki/1._FC_Nürnberg
http://www.wikidata.org/entity/Q15786,nl,https://nl.wikipedia.org/wiki/1._FC_Nürnberg
http://www.wikidata.org/entity/Q15786,no,https://no.wikipedia.org/wiki/1._FC_Nürnberg
http://www.wikidata.org/entity/Q15786,oc,https://oc.wikipedia.org/wiki/1._FC_Nuremberg
http://www.wikidata.org/entity/Q15786,pl,https://pl.wikipedia.org/wiki/1._FC_Nürnberg
http://www.wikidata.org/entity/Q15786,pt,https://pt.wikipedia.org/wiki/1._FC_Nürnberg
http://www.wikidata.org/entity/Q15786,ro,https://ro.wikipedia.org/wiki/1._FC_Nürnberg
http://www.wikidata.org/entity/Q15786,ru,https://ru.wikipedia.org/wiki/Нюрнберг_(футбольный_клуб)
