,originLabel,cultureLabel,ethnic_groupLabel,off_languageLabel,nameLabel,movementLabel,genreLabel,main_subjectLabel,memorializedLabel,sign_eventLabel,narrative_locLabel,countryLabel,taxonLabel,jurisdictionLabel,based_onLabel,part_ofLabel,native_labelLabel,cuisineLabel,areaLabel,used_byLabel,useLabel,political_ideoLabel,religionLabel,political_partyLabel,participant_inLabel,endemicLabel,indigenousLabel,country_sportLabel,subclass_ofLabel
0,None,None,None,None,None,None,None,None,None,None,None,Germany,None,None,None,None,None,None,None,None,None,None,None,None,Oberliga Süd 1946/47,None,None,None,None
1,None,None,None,None,None,None,jazz,None,None,None,None,United Kingdom,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,United States,None,None,None,None,None,comedy film,Insecta,None,première,Ant Island,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,Belgium,None,None,None,None,None,drama film,Gang des Lyonnais,None,None,Lyon,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,None,None,None,None,None,None,opera,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,atheism,None,None,None,None,None,None
5,None,None,None,None,None,None,None,None,None,None,None,Switzerland,None,None,None,list of cultural properties in Aarwangen,None,None,None,None,None,None,None,None,None,None,None,None,None
6,None,None,None,None,None,None,None,None,None,None,None,Iraq,None,None,None,None,None,None,None,woman,None,None,Islam,None,None,None,Middle East,None,traditional costume
7,None,None,None,None,None,None,None,None,None,None,None,Mexico,None,None,None,Faculty of Arts and Design,None,None,None,None,None,None,None,None,None,None,None,None,None
8,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Earth,None,None,None,None,None,None,None,None,None,None,None,None,None
9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Black Arts Movement,None,None,None,None,None,None,None,None,None,None,None,None,American literature
10,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,agriculture,None,None,None,None,None,None,None,transport
11,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,vehicle
12,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nonwoven fabric
13,None,None,None,None,None,None,None,None,None,None,None,Spain,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,home
14,None,None,None,None,None,None,pop,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
15,None,None,None,None,None,None,None,None,None,Panama Papers,None,None,None,None,None,None,None,None,None,None,None,None,Hinduism,None,None,None,None,None,None
16,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Islam,None,None,None,None,None,None
17,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
18,None,None,None,None,None,None,None,None,None,None,None,None,flowering plants,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Plantae
19,Japan,None,None,None,None,None,None,None,None,None,None,None,None,None,None,anime and manga,None,None,None,None,None,None,None,None,None,None,None,None,audiovisual work
20,None,None,None,None,None,None,None,None,None,None,None,United States,None,None,None,S&P 500,AOL,None,None,None,Internet suite,None,None,None,None,None,None,None,None
21,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,alcoholic beverage
22,Italy,None,None,None,None,None,None,None,None,None,None,Italy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,apéritif
23,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,visual arts
24,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,kabuki,荒事,None,None,None,None,None,None,None,None,None,None,None,None
25,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,designer
26,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,architect
27,Algeria,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,cooking oil
28,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,historian
29,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,visual arts
30,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,atheist,None,None,None,None,None,None,None,None,irreligion
31,Kingdom of Great Britain,None,None,None,English,None,None,wool,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
32,None,None,None,None,None,None,None,None,None,None,None,Switzerland,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
33,Latvia,None,None,None,None,None,None,None,None,None,None,Lithuania,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,music festival
34,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,drum
35,None,None,None,None,None,None,None,None,None,None,None,Germany,None,None,None,None,None,None,None,None,archive,None,None,None,None,None,None,None,None
36,None,None,None,None,None,None,None,None,None,None,None,Switzerland,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
37,None,None,None,None,None,None,None,None,None,None,None,Switzerland,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
38,None,None,None,None,None,None,None,None,None,None,None,Germany,None,None,None,None,Bauhaus-Archiv,None,None,None,None,None,None,None,None,None,None,None,None
39,Germany,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Bavarian cuisine,None,None,None,None,None,None,None,None,None,None,None
40,None,None,None,None,None,None,None,None,None,None,None,Italy,None,None,None,None,Biblioteca Ambrosiana,None,None,None,None,None,None,None,None,None,None,None,None
41,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,paramedic,road bicycle racing,None,None,None,None,None,None,None,two-wheeler
42,None,None,None,None,None,None,None,None,None,None,None,None,dvobočniki,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Animalia
43,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
44,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,united front,None,None,None,None,None,None,None,None,None,None,None,None,political party
45,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
46,None,None,None,None,None,None,None,None,None,None,None,United States,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
47,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,artist
48,India,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,cotton fabric
49,None,None,None,None,None,None,None,None,None,None,None,None,None,http://www.wikidata.org/.well-known/genid/db70f65ea3aeca6fb14769fe9885aa46,None,None,خَلِيفَة,None,None,None,None,None,None,None,None,None,None,None,monarch
50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,city
51,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,athlete
52,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,tied shoe
53,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,agnosticism,None,None,None,None,None,None
54,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Plantae
55,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,poetry
56,None,None,None,None,None,None,None,None,None,post-war reconstruction,None,Germany,None,None,None,None,Schloss Charlottenburg,None,None,None,None,None,None,None,None,None,None,None,None
57,None,None,None,None,None,None,None,None,None,None,None,France,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
58,None,None,None,None,None,None,None,None,None,None,None,Bangladesh,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
59,Democratic Republic of the Congo,None,None,None,None,None,soukous,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
60,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,artist
61,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,woodwind instrument player
62,None,None,None,None,None,None,None,None,None,None,None,Germany,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
63,None,None,None,None,None,None,None,None,None,None,None,Spain,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
64,None,None,None,None,None,None,None,None,None,None,None,United States,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
65,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,actor
66,None,None,None,None,None,None,None,None,None,None,None,None,sola zwyczajna,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
67,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,communism,None,None,None,None,None,None,political party
68,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,magazine
69,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,author
70,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,musician
71,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,ritual
72,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,comics
73,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,bishop,None,None,None,None,None,None,None,None,walking stick
74,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,architectural element
75,United States,None,None,None,None,None,None,anime and manga,None,None,None,United States,None,None,None,None,None,None,worldwide,None,None,None,None,None,None,None,None,None,None
76,None,None,None,None,None,None,None,None,None,None,None,Cuba,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
77,None,None,None,None,None,None,None,None,None,None,None,None,Mosquitoes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Animalia
78,None,None,None,None,None,None,None,None,None,None,None,People's Republic of China,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
79,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Catholicism,None,None,None,None,None,government
80,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Dravida Munnetra Kazhagam,None,None,None,None,None
81,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,dance,None,None,None,None,None,None,None,None,performing arts
82,None,None,None,None,None,None,comedy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Buddhism,Communist Refoundation Party,None,None,None,None,None
83,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
84,India,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,loincloth
